epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
57,420.598,1.89443,1.8428,0.02361,0.54688,0.44595,0.43245,0.16688,2.07046,2.06701,0.03032,0.0012608,0.0012608,0.0012608
58,427.946,1.81656,1.77408,0.02153,0.55202,0.40631,0.43165,0.15862,2.13899,2.02594,0.03132,0.0012476,0.0012476,0.0012476
59,435.35,1.86687,1.75321,0.02247,0.55018,0.41322,0.40575,0.14831,2.18977,2.09158,0.03198,0.0012344,0.0012344,0.0012344
60,442.7,1.80854,1.76082,0.02125,0.47857,0.40541,0.39347,0.16645,2.04793,1.95698,0.03008,0.0012212,0.0012212,0.0012212
61,450.102,1.82043,1.80297,0.02278,0.46217,0.35766,0.34992,0.1508,2.08763,2.22046,0.03139,0.001208,0.001208,0.001208
62,457.48,1.829,1.804,0.02214,0.60096,0.41622,0.41279,0.14232,2.25183,2.00041,0.03337,0.0011948,0.0011948,0.0011948
63,465.119,1.7502,1.73269,0.02106,0.51928,0.38378,0.3767,0.15176,2.10718,2.02285,0.03075,0.0011816,0.0011816,0.0011816
64,472.459,1.839,1.77562,0.02261,0.53249,0.41622,0.41878,0.16797,2.17045,1.95636,0.0321,0.0011684,0.0011684,0.0011684
65,479.786,1.79761,1.7814,0.02223,0.51434,0.42973,0.40274,0.14799,2.24916,2.01561,0.03391,0.0011552,0.0011552,0.0011552
66,487.149,1.79348,1.82032,0.0243,0.49296,0.31269,0.29657,0.09306,2.42909,2.25125,0.04067,0.001142,0.001142,0.001142
67,494.5,1.80541,1.76064,0.02208,0.50112,0.41538,0.39532,0.15009,2.28602,2.00844,0.03658,0.0011288,0.0011288,0.0011288
68,501.895,1.81552,1.77142,0.02148,0.53996,0.4027,0.43892,0.16259,2.20193,1.90869,0.03409,0.0011156,0.0011156,0.0011156
69,509.302,1.82039,1.77449,0.02107,0.52756,0.37838,0.39558,0.173,2.12074,1.90289,0.03345,0.0011024,0.0011024,0.0011024
70,516.667,1.7322,1.64783,0.02023,0.50391,0.42004,0.42491,0.17726,2.13745,1.83802,0.03164,0.0010892,0.0010892,0.0010892
71,524.074,1.78003,1.70606,0.02031,0.55184,0.44595,0.47316,0.20122,2.05546,1.70321,0.0304,0.001076,0.001076,0.001076
72,531.579,1.77829,1.72553,0.02125,0.66012,0.39189,0.44845,0.17601,2.13621,1.80854,0.03225,0.0010628,0.0010628,0.0010628
73,538.913,1.74737,1.6973,0.0201,0.54433,0.4027,0.42071,0.15157,2.25592,1.86577,0.03431,0.0010496,0.0010496,0.0010496
74,546.574,1.78248,1.72524,0.0212,0.61354,0.42703,0.44789,0.18984,2.12567,1.80252,0.03194,0.0010364,0.0010364,0.0010364
75,553.938,1.77339,1.68068,0.02282,0.56862,0.40811,0.43426,0.18347,2.12588,2.00423,0.03136,0.0010232,0.0010232,0.0010232
76,561.31,1.78596,1.70332,0.02086,0.5439,0.42867,0.46572,0.18984,2.14591,1.83488,0.03084,0.00101,0.00101,0.00101
77,568.623,1.7546,1.64483,0.02244,0.58232,0.43514,0.44748,0.18436,2.16761,1.92317,0.03209,0.0009968,0.0009968,0.0009968
78,576.017,1.76263,1.67196,0.02258,0.68122,0.41007,0.46335,0.19086,2.16899,1.7464,0.03166,0.0009836,0.0009836,0.0009836
79,583.378,1.74452,1.64798,0.02225,0.64928,0.41081,0.45764,0.1845,2.15812,1.8944,0.03068,0.0009704,0.0009704,0.0009704
80,590.765,1.74242,1.67471,0.02123,0.67873,0.42162,0.47572,0.20859,2.02941,1.86318,0.02968,0.0009572,0.0009572,0.0009572
81,598.262,1.76537,1.59245,0.0215,0.70095,0.4027,0.48464,0.20561,2.12311,1.71868,0.03041,0.000944,0.000944,0.000944
82,605.625,1.72624,1.6012,0.02156,0.66312,0.45405,0.48365,0.2096,2.06705,1.69663,0.02951,0.0009308,0.0009308,0.0009308
83,613.09,1.75575,1.64267,0.0215,0.62055,0.42162,0.45355,0.19872,2.1313,1.80196,0.03132,0.0009176,0.0009176,0.0009176
84,620.484,1.75642,1.65021,0.02061,0.64047,0.41622,0.45168,0.18004,2.20105,1.93252,0.03271,0.0009044,0.0009044,0.0009044
85,628.181,1.72168,1.62894,0.02045,0.56493,0.49133,0.52185,0.22489,1.97129,1.5572,0.02766,0.0008912,0.0008912,0.0008912
86,635.647,1.75185,1.68299,0.02149,0.62416,0.46216,0.52193,0.22189,2.02057,1.61177,0.02814,0.000878,0.000878,0.000878
87,643.001,1.70262,1.64099,0.02103,0.56212,0.50541,0.50522,0.22841,1.92548,1.60545,0.02601,0.0008648,0.0008648,0.0008648
88,650.458,1.73935,1.61837,0.02252,0.65045,0.4027,0.46195,0.18461,2.08027,1.77416,0.02998,0.0008516,0.0008516,0.0008516
89,657.819,1.66262,1.5493,0.02067,0.59083,0.47611,0.49068,0.22362,1.91918,1.73103,0.02749,0.0008384,0.0008384,0.0008384
90,665.148,1.76248,1.58507,0.02185,0.61942,0.46187,0.49887,0.22029,2.04237,1.67715,0.02893,0.0008252,0.0008252,0.0008252
91,672.505,1.73524,1.60928,0.02175,0.64067,0.42162,0.47471,0.21892,1.98761,1.77644,0.02842,0.000812,0.000812,0.000812
92,679.877,1.70945,1.52733,0.0199,0.65165,0.3973,0.42843,0.19394,2.04211,1.86855,0.02952,0.0007988,0.0007988,0.0007988
93,687.314,1.63986,1.43648,0.01886,0.55597,0.40811,0.4222,0.17791,2.15277,1.84722,0.03166,0.0007856,0.0007856,0.0007856
94,694.678,1.69973,1.53273,0.02166,0.62493,0.45135,0.48658,0.2045,2.12895,1.74542,0.03127,0.0007724,0.0007724,0.0007724
95,702.083,1.70378,1.53093,0.02026,0.6565,0.47027,0.52903,0.23345,2.00193,1.59796,0.02834,0.0007592,0.0007592,0.0007592
96,709.847,1.67121,1.51025,0.01964,0.57006,0.46216,0.50135,0.2221,1.98664,1.73972,0.02782,0.000746,0.000746,0.000746
97,717.232,1.69151,1.56122,0.0206,0.69233,0.41965,0.50238,0.21639,2.03031,1.6602,0.02981,0.0007328,0.0007328,0.0007328
98,724.586,1.6786,1.56489,0.0199,0.70656,0.37745,0.46308,0.19509,2.15479,1.75982,0.03082,0.0007196,0.0007196,0.0007196
99,731.935,1.70365,1.55058,0.0203,0.63648,0.42973,0.47604,0.19774,2.16866,1.77875,0.03038,0.0007064,0.0007064,0.0007064
100,739.286,1.6545,1.49919,0.01925,0.57474,0.44595,0.47534,0.20443,2.13957,1.73581,0.03046,0.0006932,0.0006932,0.0006932
101,746.689,1.71784,1.47064,0.01995,0.55337,0.48108,0.47646,0.21125,2.07871,1.78637,0.02914,0.00068,0.00068,0.00068
102,754.095,1.67975,1.47844,0.02058,0.64241,0.44054,0.49711,0.21434,2.06003,1.65526,0.02921,0.0006668,0.0006668,0.0006668
103,761.488,1.6713,1.50934,0.02116,0.60023,0.46757,0.51132,0.21282,2.03674,1.58396,0.02799,0.0006536,0.0006536,0.0006536
104,768.921,1.68978,1.53566,0.02015,0.7021,0.43314,0.50874,0.22619,2.02361,1.61702,0.02875,0.0006404,0.0006404,0.0006404
105,776.453,1.71521,1.51415,0.01906,0.61003,0.44865,0.50115,0.22832,2.01295,1.64829,0.029,0.0006272,0.0006272,0.0006272
106,784,1.66962,1.46918,0.01943,0.61571,0.44595,0.49825,0.2283,2.01045,1.69229,0.02919,0.000614,0.000614,0.000614
107,791.592,1.6414,1.46585,0.01949,0.76465,0.39459,0.50318,0.23312,1.98485,1.77024,0.02802,0.0006008,0.0006008,0.0006008
108,798.952,1.59419,1.39244,0.01991,0.73399,0.41762,0.51365,0.23023,2.04752,1.77492,0.02862,0.0005876,0.0005876,0.0005876
109,806.298,1.60086,1.37261,0.02056,0.67909,0.41751,0.48182,0.20584,2.06549,1.79926,0.03023,0.0005744,0.0005744,0.0005744
110,813.735,1.62018,1.42084,0.01994,0.59491,0.45946,0.48931,0.21651,2.07187,1.5884,0.02842,0.0005612,0.0005612,0.0005612
111,821.07,1.59668,1.34872,0.01949,0.56054,0.47574,0.49494,0.21712,2.01889,1.66359,0.0283,0.000548,0.000548,0.000548
112,828.428,1.60003,1.39657,0.02008,0.64764,0.45702,0.5389,0.23756,1.94661,1.61676,0.02687,0.0005348,0.0005348,0.0005348
113,835.932,1.64159,1.41728,0.01863,0.67867,0.44595,0.50034,0.2214,2.03808,1.67578,0.02834,0.0005216,0.0005216,0.0005216
114,843.3,1.62333,1.40758,0.01886,0.69874,0.44324,0.53509,0.23454,2.00445,1.67045,0.02841,0.0005084,0.0005084,0.0005084
115,850.641,1.55778,1.38634,0.01902,0.6712,0.45405,0.51581,0.23125,1.96625,1.71722,0.02746,0.0004952,0.0004952,0.0004952
116,857.996,1.59523,1.36418,0.01859,0.69105,0.44324,0.50645,0.23319,1.95913,1.60129,0.02701,0.000482,0.000482,0.000482
117,865.362,1.63108,1.37148,0.01887,0.74534,0.42162,0.50597,0.228,2.03006,1.71613,0.02875,0.0004688,0.0004688,0.0004688
118,872.993,1.62601,1.34113,0.01893,0.6973,0.43581,0.50279,0.2304,2.02495,1.72081,0.02807,0.0004556,0.0004556,0.0004556
119,880.301,1.66194,1.39668,0.0199,0.65284,0.44218,0.50518,0.22153,2.07377,1.70593,0.0299,0.0004424,0.0004424,0.0004424
120,887.606,1.57654,1.36882,0.01973,0.75328,0.42162,0.50803,0.22211,2.04433,1.70058,0.0295,0.0004292,0.0004292,0.0004292
121,894.906,1.57096,1.33178,0.01987,0.71081,0.46757,0.51776,0.23378,1.97545,1.70724,0.028,0.000416,0.000416,0.000416
122,902.257,1.60727,1.39948,0.02037,0.68716,0.45946,0.51715,0.23388,1.97944,1.72287,0.02754,0.0004028,0.0004028,0.0004028
123,909.592,1.55646,1.30462,0.01755,0.66199,0.43514,0.49809,0.2124,2.07401,1.64358,0.02914,0.0003896,0.0003896,0.0003896
124,916.973,1.59537,1.36232,0.01816,0.61263,0.46216,0.50229,0.21927,2.00472,1.59749,0.02723,0.0003764,0.0003764,0.0003764
125,924.39,1.59477,1.38562,0.0185,0.66264,0.44062,0.51196,0.23592,1.98794,1.6167,0.02721,0.0003632,0.0003632,0.0003632
126,931.747,1.57084,1.32922,0.01819,0.71849,0.42079,0.51649,0.23182,2.00194,1.57447,0.02746,0.00035,0.00035,0.00035
127,939.078,1.55111,1.32038,0.01972,0.62037,0.47297,0.51675,0.22438,2.00475,1.59748,0.02769,0.0003368,0.0003368,0.0003368
128,946.411,1.58702,1.31983,0.01952,0.71077,0.42162,0.51114,0.22469,1.99528,1.60733,0.02759,0.0003236,0.0003236,0.0003236
129,954.098,1.55006,1.24891,0.01802,0.648,0.44865,0.51253,0.24061,1.97292,1.59402,0.02755,0.0003104,0.0003104,0.0003104
130,961.567,1.61096,1.36927,0.01851,0.58566,0.47754,0.51613,0.2406,1.95848,1.66211,0.02686,0.0002972,0.0002972,0.0002972
131,968.879,1.56394,1.33398,0.01961,0.66371,0.44324,0.51493,0.2285,2.01609,1.62505,0.02823,0.000284,0.000284,0.000284
132,976.268,1.56298,1.27237,0.0177,0.55991,0.5,0.50629,0.22965,2.01297,1.57133,0.02761,0.0002708,0.0002708,0.0002708
133,983.734,1.6199,1.35162,0.01797,0.61113,0.48108,0.50673,0.23216,1.98472,1.60773,0.02718,0.0002576,0.0002576,0.0002576
134,991.064,1.50677,1.25205,0.0185,0.68873,0.43243,0.49939,0.22606,2.01328,1.71557,0.02816,0.0002444,0.0002444,0.0002444
135,998.365,1.57121,1.3144,0.01832,0.64399,0.44865,0.49694,0.23105,2.02233,1.60768,0.02786,0.0002312,0.0002312,0.0002312
136,1005.73,1.5151,1.24159,0.01793,0.75183,0.40541,0.50211,0.23825,2.01556,1.59165,0.02788,0.000218,0.000218,0.000218
137,1013.04,1.54955,1.32515,0.01803,0.68398,0.42702,0.49584,0.23353,2.0073,1.64284,0.02787,0.0002048,0.0002048,0.0002048
138,1020.4,1.56226,1.30973,0.01815,0.58711,0.46501,0.50502,0.23533,2.00868,1.62923,0.02786,0.0001916,0.0001916,0.0001916
139,1028.05,1.5767,1.31639,0.01804,0.62591,0.46757,0.50888,0.22768,1.99225,1.63952,0.0275,0.0001784,0.0001784,0.0001784
140,1035.43,1.54231,1.24646,0.01773,0.69079,0.42432,0.49907,0.23189,1.98495,1.61366,0.0274,0.0001652,0.0001652,0.0001652
141,1043.41,1.57022,1.14012,0.02651,0.68425,0.40811,0.49061,0.22745,2.02648,1.65474,0.02868,0.000152,0.000152,0.000152
142,1050.69,1.5592,1.0451,0.02311,0.67617,0.42703,0.48031,0.21949,2.06329,1.70141,0.02977,0.0001388,0.0001388,0.0001388
143,1057.91,1.53442,1.00011,0.0256,0.66267,0.42703,0.49024,0.23069,1.98675,1.72495,0.02795,0.0001256,0.0001256,0.0001256
144,1065.11,1.4589,0.91513,0.02261,0.62894,0.45405,0.49375,0.22908,1.98451,1.65874,0.02752,0.0001124,0.0001124,0.0001124
145,1072.36,1.48685,0.91206,0.02323,0.63009,0.46216,0.5022,0.23135,1.97815,1.63834,0.02729,9.92e-05,9.92e-05,9.92e-05
146,1079.59,1.44903,0.91063,0.02278,0.62943,0.47838,0.50777,0.23299,1.95704,1.64158,0.02707,8.6e-05,8.6e-05,8.6e-05
147,1086.82,1.45342,0.9284,0.02313,0.63071,0.47297,0.5028,0.22998,1.95671,1.65804,0.02703,7.28e-05,7.28e-05,7.28e-05
148,1094.08,1.42764,0.91573,0.02328,0.63338,0.46486,0.50019,0.22783,1.96459,1.66131,0.02708,5.96e-05,5.96e-05,5.96e-05
149,1101.73,1.43254,0.93235,0.02223,0.63794,0.47568,0.50874,0.22741,1.96036,1.65482,0.02699,4.64e-05,4.64e-05,4.64e-05
150,1108.99,1.42805,0.90938,0.02321,0.60403,0.48649,0.51004,0.22975,1.9596,1.6578,0.02681,3.32e-05,3.32e-05,3.32e-05
