epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
103,647.395,1.75079,1.7397,0.02215,0.62347,0.42967,0.4572,0.19731,2.05454,1.88499,0.03693,0.00159608,0.00159608,0.00159608
104,653.395,1.68352,1.72132,0.02059,0.56421,0.43377,0.45015,0.20071,2.0584,2.11086,0.03558,0.00159212,0.00159212,0.00159212
105,659.431,1.75618,1.72843,0.02013,0.63218,0.41688,0.43177,0.19938,2.07765,2.19101,0.03635,0.00158816,0.00158816,0.00158816
106,665.328,1.68735,1.67204,0.01975,0.56463,0.43783,0.45284,0.19445,2.08407,1.94224,0.03654,0.0015842,0.0015842,0.0015842
107,671.326,1.67059,1.65348,0.0215,0.62627,0.4399,0.49937,0.22547,2.00822,1.88701,0.03584,0.00158024,0.00158024,0.00158024
108,677.293,1.63688,1.64937,0.02127,0.57522,0.43734,0.48071,0.22516,2.00881,1.9353,0.03487,0.00157628,0.00157628,0.00157628
109,683.281,1.69001,1.6832,0.02113,0.6932,0.38363,0.46811,0.20963,2.05285,1.97897,0.03756,0.00157232,0.00157232,0.00157232
110,689.328,1.6661,1.66172,0.02116,0.66605,0.32737,0.39145,0.16562,2.23415,2.31414,0.04289,0.00156836,0.00156836,0.00156836
111,695.427,1.69383,1.74336,0.02181,0.59363,0.43339,0.46435,0.21183,2.13789,2.02706,0.03984,0.0015644,0.0015644,0.0015644
112,701.425,1.74948,1.72339,0.02026,0.54335,0.42199,0.43642,0.19838,2.0581,2.14721,0.03592,0.00156044,0.00156044,0.00156044
113,707.42,1.7093,1.71481,0.02046,0.59984,0.43321,0.47573,0.21422,2.05656,1.87301,0.03631,0.00155648,0.00155648,0.00155648
114,713.442,1.6806,1.72381,0.02173,0.61152,0.43478,0.49813,0.22621,2.08784,1.79045,0.03708,0.00155252,0.00155252,0.00155252
115,719.488,1.63968,1.66156,0.02077,0.54566,0.45269,0.46067,0.20105,2.14685,1.9457,0.03822,0.00154856,0.00154856,0.00154856
116,725.313,1.65618,1.64232,0.02017,0.56842,0.49616,0.49788,0.22103,2.20161,1.90392,0.04085,0.0015446,0.0015446,0.0015446
117,731.174,1.71116,1.65628,0.02111,0.60474,0.42199,0.44729,0.20511,2.21738,1.98506,0.03963,0.00154064,0.00154064,0.00154064
118,737.116,1.66985,1.60494,0.02113,0.6135,0.46281,0.49745,0.23023,2.10235,1.88798,0.03783,0.00153668,0.00153668,0.00153668
119,743.115,1.67976,1.64856,0.02095,0.60018,0.47315,0.47424,0.19994,2.21271,1.93848,0.04076,0.00153272,0.00153272,0.00153272
120,749.199,1.69459,1.66001,0.01939,0.58748,0.43223,0.46853,0.21305,2.10305,1.95344,0.03874,0.00152876,0.00152876,0.00152876
121,755.153,1.62361,1.60092,0.02033,0.53125,0.4757,0.46732,0.21539,2.07573,1.87061,0.03668,0.0015248,0.0015248,0.0015248
122,761.183,1.71284,1.68061,0.02108,0.56302,0.42711,0.46125,0.20603,2.07099,1.86329,0.03715,0.00152084,0.00152084,0.00152084
123,767.093,1.63718,1.71829,0.02208,0.57201,0.43478,0.43096,0.17201,2.15719,2.15206,0.04036,0.00151688,0.00151688,0.00151688
124,772.944,1.70769,1.69661,0.02107,0.61288,0.45524,0.49315,0.22576,2.07789,1.99499,0.03676,0.00151292,0.00151292,0.00151292
125,778.921,1.64143,1.6604,0.02021,0.60555,0.41688,0.45326,0.2072,2.09959,2.21742,0.03716,0.00150896,0.00150896,0.00150896
126,784.804,1.66675,1.59824,0.02104,0.50295,0.45269,0.43427,0.18019,2.22854,2.1798,0.04133,0.001505,0.001505,0.001505
127,790.757,1.66693,1.64349,0.02005,0.59875,0.42967,0.4645,0.20776,2.05099,2.05916,0.03714,0.00150104,0.00150104,0.00150104
128,796.736,1.6859,1.63443,0.01969,0.59352,0.46292,0.47306,0.22319,2.10313,1.89162,0.03768,0.00149708,0.00149708,0.00149708
129,802.666,1.66689,1.61898,0.02172,0.6184,0.45524,0.46377,0.21742,2.06718,2.17419,0.0364,0.00149312,0.00149312,0.00149312
130,808.669,1.64814,1.56562,0.01929,0.59842,0.44592,0.47064,0.21707,2.03203,2.11315,0.03455,0.00148916,0.00148916,0.00148916
131,814.56,1.62964,1.60003,0.01955,0.63131,0.42455,0.44927,0.19925,2.10394,1.93462,0.0367,0.0014852,0.0014852,0.0014852
132,820.516,1.69087,1.6083,0.02054,0.58159,0.43372,0.4633,0.2128,2.01047,2.00917,0.03359,0.00148124,0.00148124,0.00148124
133,826.366,1.63056,1.55755,0.02086,0.59452,0.45269,0.45961,0.2131,2.15264,1.91948,0.03857,0.00147728,0.00147728,0.00147728
134,832.254,1.65979,1.56947,0.0213,0.59819,0.42711,0.42656,0.18924,2.1143,1.97045,0.0368,0.00147332,0.00147332,0.00147332
135,838.317,1.6947,1.64013,0.02017,0.57573,0.41432,0.42753,0.18465,2.19747,2.10874,0.04086,0.00146936,0.00146936,0.00146936
136,844.129,1.6385,1.60532,0.01996,0.64629,0.40921,0.44155,0.17927,2.30956,2.0196,0.04212,0.0014654,0.0014654,0.0014654
137,850.08,1.64471,1.58501,0.01968,0.53129,0.45515,0.4518,0.19688,2.17681,1.93144,0.03968,0.00146144,0.00146144,0.00146144
138,855.91,1.62074,1.58828,0.0217,0.53398,0.48338,0.45497,0.19893,2.19872,2.18154,0.04023,0.00145748,0.00145748,0.00145748
139,861.79,1.64402,1.58565,0.02046,0.69767,0.43674,0.49079,0.21176,2.25834,2.00041,0.04231,0.00145352,0.00145352,0.00145352
140,867.67,1.59918,1.54973,0.01912,0.70483,0.43734,0.4827,0.22624,2.13777,2.15706,0.03914,0.00144956,0.00144956,0.00144956
141,873.533,1.63396,1.62493,0.02031,0.59089,0.4399,0.45856,0.20914,2.08552,1.97619,0.03654,0.0014456,0.0014456,0.0014456
142,879.353,1.58754,1.56456,0.01989,0.56189,0.4578,0.46886,0.21764,2.00483,2.02695,0.03447,0.00144164,0.00144164,0.00144164
143,885.259,1.63093,1.57111,0.01986,0.58151,0.43713,0.46152,0.21703,2.04364,1.87154,0.03523,0.00143768,0.00143768,0.00143768
144,891.112,1.67032,1.55104,0.02015,0.64662,0.39642,0.46898,0.20887,2.11664,1.84632,0.03791,0.00143372,0.00143372,0.00143372
145,896.951,1.64937,1.56359,0.02016,0.58714,0.45465,0.47498,0.22348,2.18684,1.9728,0.04011,0.00142976,0.00142976,0.00142976
146,902.878,1.63169,1.54362,0.02042,0.56836,0.42455,0.45209,0.20424,2.1494,2.00656,0.03818,0.0014258,0.0014258,0.0014258
147,908.746,1.60034,1.54305,0.02011,0.62517,0.45013,0.47168,0.21783,2.03055,2.10703,0.03415,0.00142184,0.00142184,0.00142184
148,914.62,1.60608,1.47773,0.01891,0.61341,0.43223,0.46461,0.21276,2.12378,1.86018,0.03676,0.00141788,0.00141788,0.00141788
149,920.474,1.63363,1.53722,0.01985,0.60311,0.44757,0.49259,0.22375,2.11035,1.82123,0.03854,0.00141392,0.00141392,0.00141392
150,926.337,1.6035,1.58706,0.02074,0.60683,0.43027,0.46659,0.20965,2.05436,1.85749,0.03477,0.00140996,0.00140996,0.00140996
151,932.323,1.61904,1.51966,0.02125,0.55779,0.47744,0.49183,0.22545,2.06617,1.77004,0.03494,0.001406,0.001406,0.001406
152,938.214,1.58412,1.53688,0.01946,0.66027,0.43741,0.48452,0.22092,2.0918,2.07146,0.03644,0.00140204,0.00140204,0.00140204
153,943.914,1.6135,1.54465,0.02019,0.60806,0.42967,0.45709,0.2119,2.15746,1.93235,0.03881,0.00139808,0.00139808,0.00139808
154,949.738,1.65406,1.55122,0.0203,0.54592,0.47315,0.46323,0.19288,2.26717,2.02111,0.04225,0.00139412,0.00139412,0.00139412
155,955.742,1.64074,1.58034,0.02052,0.67784,0.41436,0.45935,0.1964,2.17825,2.06774,0.04044,0.00139016,0.00139016,0.00139016
156,961.602,1.58233,1.47846,0.02091,0.67741,0.45113,0.49398,0.22793,1.98328,2.03085,0.03285,0.0013862,0.0013862,0.0013862
157,967.619,1.59768,1.50369,0.01898,0.70421,0.45524,0.49513,0.22008,2.09929,2.05608,0.03671,0.00138224,0.00138224,0.00138224
158,973.495,1.61759,1.51429,0.01978,0.68828,0.46305,0.50141,0.20921,2.17122,2.02958,0.03934,0.00137828,0.00137828,0.00137828
159,979.427,1.62024,1.55909,0.02005,0.62073,0.46547,0.48112,0.2145,2.15061,1.99983,0.03742,0.00137432,0.00137432,0.00137432
160,985.455,1.57649,1.51455,0.01968,0.53923,0.39898,0.41131,0.1765,2.13266,2.11978,0.0362,0.00137036,0.00137036,0.00137036
161,991.478,1.59562,1.46217,0.01922,0.56287,0.42711,0.43441,0.18566,2.2384,1.95328,0.03958,0.0013664,0.0013664,0.0013664
162,997.52,1.61575,1.49323,0.01933,0.59031,0.46547,0.49311,0.2201,2.15209,1.97324,0.0379,0.00136244,0.00136244,0.00136244
163,1003.42,1.62955,1.51064,0.01982,0.63946,0.45013,0.49746,0.22298,2.1722,1.87751,0.03954,0.00135848,0.00135848,0.00135848
164,1009.36,1.5655,1.47877,0.01906,0.68057,0.45013,0.49183,0.22025,2.14195,1.93753,0.03779,0.00135452,0.00135452,0.00135452
